assignee,cohort,promoted,seg_id,n_pts,acc,err,dur,f_spine,f_nucleus,f_dendrite,f_axon,f_soma
E08,expert,0,864691135753932237,8,1.0,0,213.9788784980774,0.25,0.125,0.25,0.25,0.125
E08,expert,0,864691135367058169,8,1.0,0,211.15137314796448,0.25,0.125,0.25,0.25,0.125
E08,expert,0,864691135293126156,8,1.0,0,132.05767369270325,0.25,0.125,0.25,0.25,0.125
E08,expert,0,864691136134678667,8,1.0,0,186.63430953025815,0.25,0.125,0.25,0.25,0.125
E08,expert,0,864691135974639471,8,1.0,0,100.6999900341034,0.25,0.125,0.25,0.25,0.125
E08,expert,0,864691135953898760,8,1.0,0,125.90773224830627,0.25,0.125,0.25,0.25,0.125
E08,expert,0,864691135293324812,8,1.0,0,143.4085636138916,0.25,0.125,0.25,0.25,0.125
E08,expert,0,864691135609687047,8,1.0,0,51.59671545028687,0.25,0.125,0.25,0.25,0.125
E08,expert,0,864691136951664863,8,1.0,0,99.57689237594604,0.25,0.125,0.25,0.25,0.125
E08,expert,0,864691136008689326,8,1.0,0,101.7616045475006,0.25,0.125,0.25,0.25,0.125
E08,expert,0,864691136023889209,8,1.0,0,110.16333484649658,0.25,0.125,0.25,0.25,0.125
E08,expert,0,864691135564752471,8,1.0,0,115.86193823814392,0.25,0.125,0.25,0.25,0.125
E08,expert,0,864691136011067043,8,1.0,0,106.75781655311584,0.25,0.125,0.25,0.25,0.125
S01,student,0,864691135104203853,8,1.0,0,4866.219797849655,0.25,0.125,0.25,0.25,0.125
S01,student,0,864691135517422218,7,0.8571428571428571,1,441.1225619316101,0.2857142857142857,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.1428571428571428
S01,student,0,864691135753932237,8,1.0,0,1992.556935310364,0.25,0.125,0.25,0.25,0.125
S01,student,0,864691135367058169,8,1.0,0,865.4860155582428,0.25,0.125,0.25,0.25,0.125
S01,student,0,864691135293126156,8,1.0,0,169.22794222831726,0.25,0.125,0.25,0.25,0.125
S01,student,0,864691136134678667,8,1.0,0,1013.9498913288116,0.25,0.125,0.25,0.25,0.125
S01,student,0,864691135974639471,8,1.0,0,793.8684182167053,0.25,0.125,0.25,0.25,0.125
S01,student,0,864691135953898760,8,1.0,0,592.0016117095947,0.25,0.125,0.25,0.25,0.125
S01,student,0,864691135293324812,8,1.0,0,1193.6634485721588,0.25,0.125,0.25,0.25,0.125
S01,student,0,864691135609687047,8,1.0,0,361.9309208393097,0.25,0.125,0.25,0.25,0.125
S01,student,0,864691136008689326,8,1.0,0,422.2014157772064,0.25,0.125,0.25,0.25,0.125
S01,student,0,864691136023889209,8,1.0,0,427.5402691364288,0.25,0.125,0.25,0.25,0.125
S01,student,0,864691135564752471,8,1.0,0,182.24203968048096,0.25,0.125,0.25,0.25,0.125
S01,student,0,864691136011067043,8,1.0,0,275.4306030273437,0.25,0.125,0.25,0.25,0.125
S03,student,1,864691135104203853,8,1.0,0,2107.567917108536,0.25,0.125,0.25,0.25,0.125
S03,student,1,864691135517422218,7,0.8571428571428571,1,255.2353308200836,0.2857142857142857,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.1428571428571428
S03,student,1,864691135753932237,8,1.0,0,378.2755992412567,0.25,0.125,0.25,0.25,0.125
S03,student,1,864691135367058169,8,1.0,0,179.91055035591123,0.25,0.125,0.25,0.25,0.125
S03,student,1,864691135293126156,8,1.0,0,167.8226134777069,0.25,0.125,0.25,0.25,0.125
S03,student,1,864691136134678667,8,1.0,0,384.45977115631104,0.25,0.125,0.25,0.25,0.125
S03,student,1,864691135974639471,8,1.0,0,142.88652300834656,0.25,0.125,0.25,0.25,0.125
S03,student,1,864691135953898760,8,1.0,0,206.04264211654663,0.25,0.125,0.25,0.25,0.125
S03,student,1,864691135293324812,8,1.0,0,294.5593812465668,0.25,0.125,0.25,0.25,0.125
S03,student,1,864691135609687047,8,1.0,0,196.63775086402893,0.25,0.125,0.25,0.25,0.125
S03,student,1,864691136951664863,8,1.0,0,337.7819697856903,0.25,0.125,0.25,0.25,0.125
S03,student,1,864691136008689326,8,1.0,0,254.5110239982605,0.25,0.125,0.25,0.25,0.125
S03,student,1,864691136023889209,8,1.0,0,261.6479697227478,0.25,0.125,0.25,0.25,0.125
S03,student,1,864691135564752471,8,1.0,0,120.50897526741028,0.25,0.125,0.25,0.25,0.125
S03,student,1,864691136011067043,8,1.0,0,171.4266357421875,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691135104203853,8,0.5,1,228.60053825378415,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691135517422218,7,0.8571428571428571,1,679.9231657981873,0.2857142857142857,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.1428571428571428
S04,student,0,864691135753932237,8,1.0,0,163.51807594299316,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691135367058169,8,1.0,0,331.6410202980041,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691135293126156,8,0.5,1,291.02400302886963,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691136134678667,8,0.75,1,126.25808548927309,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691135974639471,8,0.75,1,279.8111107349396,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691135953898760,8,0.75,1,190.24691557884216,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691135293324812,8,0.75,1,290.89554166793823,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691135609687047,8,1.0,0,62.49613547325134,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691136951664863,8,0.75,1,63.634819746017456,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691136008689326,8,0.375,1,72.60764217376709,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691136023889209,8,0.75,1,127.87058305740356,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691135564752471,8,0.75,1,212.67725229263303,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691136011067043,8,0.75,1,192.8783276081085,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691135584074360,8,0.75,1,116.01806640625,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691135915343462,8,0.75,1,96.86460828781128,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691135462420637,8,0.75,1,143.9050087928772,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691135775906989,8,0.75,1,120.83519172668456,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691136925601354,8,0.5,1,66.90919256210327,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691135415666362,8,0.5,1,95.2226631641388,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691136378859477,8,0.625,1,69.098397731781,0.375,0.125,0.125,0.25,0.125
S04,student,0,864691136309871706,8,0.75,1,75.83233785629272,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691135772053835,8,0.75,1,56.92918252944946,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691135937286404,8,0.5,1,93.06797432899477,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691136812081779,8,0.75,1,201.45351028442383,0.25,0.125,0.25,0.25,0.125
S04,student,0,864691135609594119,8,1.0,0,62.82242679595947,0.25,0.125,0.25,0.25,0.125
S05,student,1,864691135104203853,8,1.0,0,366.20627307891846,0.25,0.125,0.25,0.25,0.125
S05,student,1,864691135517422218,7,1.0,0,834.0608325004578,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.2857142857142857,0.1428571428571428
S05,student,1,864691135753932237,8,1.0,0,263.7576861381531,0.25,0.125,0.25,0.25,0.125
S05,student,1,864691135367058169,8,1.0,0,344.3129994869232,0.25,0.125,0.25,0.25,0.125
S05,student,1,864691135293126156,8,1.0,0,374.1347420215607,0.25,0.125,0.25,0.25,0.125
S05,student,1,864691136134678667,8,1.0,0,397.1731958389282,0.25,0.125,0.25,0.25,0.125
S05,student,1,864691135974639471,8,1.0,0,243.0775818824768,0.25,0.125,0.25,0.25,0.125
S05,student,1,864691135953898760,8,1.0,0,237.59912419319156,0.25,0.125,0.25,0.25,0.125
S05,student,1,864691135293324812,8,1.0,0,167.96386551856995,0.25,0.125,0.25,0.25,0.125
S05,student,1,864691135609687047,8,1.0,0,201.79043245315552,0.25,0.125,0.25,0.25,0.125
S05,student,1,864691136951664863,8,1.0,0,208.1794393062592,0.25,0.125,0.25,0.25,0.125
S05,student,1,864691136008689326,8,1.0,0,229.20679759979248,0.25,0.125,0.25,0.25,0.125
S05,student,1,864691136023889209,8,1.0,0,307.48737692832947,0.25,0.125,0.25,0.25,0.125
S05,student,1,864691135564752471,8,1.0,0,291.9147927761078,0.25,0.125,0.25,0.25,0.125
S05,student,1,864691136011067043,8,1.0,0,192.47830963134768,0.25,0.125,0.25,0.25,0.125
S05,student,1,864691136378815445,8,1.0,0,362.7014353275299,0.25,0.125,0.25,0.25,0.125
S05,student,1,864691135584074360,8,1.0,0,474.5816948413849,0.25,0.125,0.25,0.25,0.125
S05,student,1,864691135915343462,8,1.0,0,476.326078414917,0.25,0.125,0.25,0.25,0.125
S05,student,1,864691135462420637,8,1.0,0,217.88390398025516,0.25,0.125,0.25,0.25,0.125
S05,student,1,864691135775906989,8,1.0,0,236.36444067955017,0.25,0.125,0.25,0.25,0.125
S05,student,1,864691136925601354,8,0.875,1,516.0612576007843,0.375,0.125,0.125,0.25,0.125
S05,student,1,864691135415666362,8,1.0,0,365.5600953102112,0.25,0.125,0.25,0.25,0.125
